Practices,Services,Solutions
Data and artificial intelligence,Get the data-powered advantage,"Our data and AI strategy helps companies address the most critical requirements to fully utilize data, analytics, and AI for competitive advantage, market impact, and business results. Our offer focuses on four key areas to help clients craft a comprehensive, multifaceted data strategy, establish a scalable and sustainable data foundation, and ensure that their data, analytics, and AI fabric is agile, durable, and secure: 1. Data and AI mobilization 2. Data-powered innovation 3. AI and analytics scaling 4. Data and AI academy"
Data and artificial intelligence,Get the data-powered advantage,"The true value of AI and Analytics cannot be realized from individual proofs of concept, but their at-scale deployment across business functions, units, and geographies. As an end-to-end transformation partner, we work with clients to develop the methodology, framework, and environment to enable large-scale, production-grade intervention and deploy AI and Analytics at scale. Our robust service offering and underlying business transformation capabilities address every aspect of the AI agenda – from laying a strong data foundation, to selecting the right tools, technology platforms, and agile practices, to establishing balanced operating models and ethical AI algorithms, to cultivating rich talent and partner pools.890 by CapgeminiData holds infinite possibilities – now is the time to activate its full potential. 890 by Capgemini is available on any cloud, and with a single interface, it puts you at the helm of your data. Data-powered decisions, delivered with confidence.The key is finding the data that’s right for you, easily and quickly. By combining an extensive ecosystem of industry-specific, open, and exclusive sources with your own data, we can help you create specific insights that allow you to make key decisions with confidence. Trusted, robust, and curated to your needs, 890 by Capgemini helps clients take their business forward with confidence.Machine Learning Operations (MLOps)Leverage MLOps to improve quality and robustness, shorten deployment times, and unlock the benefit of sustainable and scalable AI models.Organizations need strong support for scaling and industrializing AI/ML models. Capgemini provides a proven framework to stabilize, standardize, and optimize the entire AI/ML journey across popular cloud services, as well as on-premises setups.Our MLOps framework, built on the key principles of DataOps and DevOps, offers clients access to reusable templates and pipelines to enable a model ecosystem, a mix of cloud native services and third party/open-source stack for added flexibility, customized model approval workflows for enhanced governance, and extensive plugins to enhance model monitoring.Federated learningFederated learning provides organizations with a decentralized model training capability. With our cutting-edge approach, models are trained locally and securely, aggregated centrally, and deployed back on edge – all without moving data outside its boundary.AI and ML-driven business decisioning provides enormous value to the organization. However, challenges around data security and privacy, as well as the scalability of the platform, are major obstacles to widespread AI/ML adoption.Federated learning, along with EDGE AI enablement, helps organizations overcome these challenges. Capgemini’s state-of-the-art Simulation Lab for Federated Learning & Edge Intelligence allows customers to leverage best-in-class FL frameworks to validate thinking and identify optimal use cases as they begin or continue their FL journey."
Data and artificial intelligence,Get the data-powered advantage,"This enables you to seek guidance on starting an automation journey, scale up operations, enjoy sustainable automation benefits, and pursue capability growth and innovation that benefits from our world-class capability, and vertical and horizontal process experience."
Data and artificial intelligence,Transform your organisation,"Data and AI have become inextricably linked with success. These capabilities, along with associated technologies like IoT, cloud, 5G, and robotics, are the cornerstone of every transformation agenda and the key to enabling intelligent products, operations, and support at scale. We help organisations leverage data and insights to fuel transformation across sectors and deliver new sources of value for the business. We work with clients to build the digital maturity required to shift to a service- and outcome-based delivery model, and fulfill the promise of Intelligent Industry."
Data and artificial intelligence,Transform your organisation,"In this digital landscape, data is more than a guide – it is the driver of change, enabling businesses to unite systems and processes to empower people and enable multi-level transformation. We help organisations leverage scaled process mining and data-driven process management to accelerate their transformation with minimal cost, risk, disruption, and delay through deep expertise with legacy and cloud managed services; strong alliances with major enterprise management vendors; standardized, proven methodology; advanced automation capabilities; and solution accelerators."
Data and artificial intelligence,Transform your organisation,"The customer relationship is no longer transactional. Rather, customers are loyal to the companies that understand their needs, solve their problems, and share their values. We help clients transform operations and infuse client-centricity across all business functions through world-class data and AI capabilities. Together, we work with clients to craft a comprehensive transformation strategy that enables the business to develop new products and services, personalize the customer experience, and drive engagement across core value areas like purpose, sustainability, and social impact – for a stronger, personalized, more human connection in a customer first world."
Enterprise management,Application development and management,"At the same time, this layer increases landscape flexibility and agility, so your enterprise can be fit for the future. It includes a commitment to develop a roadmap and vision, and a 20% or more reduction in your IT landscape through rationalisation, modernisation and migration."
Enterprise management,Application development and management,"It gathers the latest thinking from across the Group to drive change, while mitigating risk from security and data fragmentation. It brings together collaborative eco-systems like the Applied Innovation Exchange network, design agency creativity, and inbuilt-innovation tools such as the Design Office to transform ideas into outcomes."
Enterprise management,Application development and management,"Our business insightful services help you gain a better understanding of the value IT brings to your business – monitoring business KPIs, and focusing on business outcomes."
Enterprise management,Application development and management,"This portfolio covers the full development lifecycle, from transition, through building and support to decommissioning. This adaptive services layer brings flexibility and responsiveness to change across business processes, applications, and infrastructure. It also offers an easier-to-consume IT service that is aligned to business outcomes. And it frees up time and cost, to spend on transformation."
Enterprise management,Digital core,ADMnext for SAP Solutions plays a crucial role in securing the benefits of yourtransformation and supporting your journey in becoming a Renewable Enterprise. We  enable you to create the future enterprise you want by:
Enterprise management,Digital core,"Green Core with SAP Solutions, using SAP technology and enhanced with Capgemini expertise, helps deliver a greener tomorrow for our clients – and for everyone.Green Core with SAP Solutions."
Enterprise management,Digital core,"In sectors like retail, automotive, manufacturing, life sciences, energy, consumer products, and banking and insurance, we use our depth of industry knowledge to build solutions that address your challenges.with our sector-specific solutions.These are based on SAP technologies combined with best of breed industry packages. And they are tailored to your strategies, business models, processes, and technology platforms – and are fit for the future.Digital Core for Life SciencesDigital Core for AutomotiveDigital Core for Grocery"
Enterprise management,Digital core,No Solutions Data Available
Enterprise management,Digital core,"Our tailored approach addresses your business vision at a strategic level across finance, marketing, supply chain, HR, technology, and beyond.Together, we can build a value-driven roadmap to success. Digital Core Transformation with SAP S/4HANA."
Enterprise management,Digital core,"We envision complete solutions surrounding the SAP S/4HANA Digital Core – addressing the stakeholder experience by bringing automation and intelligence into the process, enabling new ways of working, and ensuring seamless adaptation to dynamic market evolution."
Enterprise management,Enterprise service management,"Capgemini’s ESM on NOW offer is a main ServiceNow based offer that helps organisations dramatically improve any business process across the enterprise, including customer service management (CSM), HR service management (HRSM), security operations (SecOps), finance, business service management (BSM), IT service management (ITSM), IT operations management (ITOM), and IT business management (ITBM).Why are we so swift and dependable? Because we have deep expertise and long experience with legacy and cloud managed services, and strong alliances with major enterprise management vendors. And because we take advantage of a standardised, proven methodology, advanced automation techniques, and solution accelerators."
Enterprise management,Enterprise service management,"Digital Service Integration and Management (SIAM) from Capgemini can accelerate digital transformation and create business value by delivering a dynamic service portfolio, removing duplication across services, helping to take control back from suppliers, creating a plug-and-play integrated supplier model, and also providing a modern user experience.Our global, practical expertise in Service Integration and Management (SIAM) means we can deliver coherent, comprehensive and continuous digital business ecosystem transformation, without the disruption that organisations can face."
Enterprise management,Enterprise service management,"Our Intelligent People Operations put your employees at the centre of your HR strategy. Through the ServiceNow HR service delivery application, our solution transforms your HR function into one that delivers an enhanced employee experience, decreased cost, increased productivity, and enhanced resource efficiency."
Enterprise management,Enterprise transformation,Accelerate the digital revolution of your IT to position your business to thrive and innovate on digitalisation. 
Enterprise management,Enterprise transformation,"By realising the full potential of data, banks and insurers can increase their competitiveness, while reducing risks and cutting costs by 5-15% in their Finance, Risk and Compliance (FRC) functions."
Enterprise management,Enterprise transformation,"From traditional data exchange and monetisation to modern data sharing and co-creation, data ecosystems are key to the new experience economy. "
Enterprise management,Enterprise transformation,IT leaders must both reduce their carbon footprint and become an enabler of positive climate action initiatives across the organisation. 
Enterprise management,Enterprise transformation,Realise the full benefits of SAP S/4HANA to activate real business change. 
Enterprise management,Enterprise transformation,The rate of change is accelerating. It’s time to embrace the shifting organisation landscape and build an adaptive and people-centric future.
Enterprise management,Intelligent business operations," Put your people at the center of your HR value proposition. Do that by deploying digital platforms that give them a frictionless experience, while transforming the way you address your talent and workforce challenges. Learn more"
Enterprise management,Intelligent business operations," Transform your organization with an integrated, frictionless, and customer-centric supply chain function that delivers cognitive, touchless operations and transparent data-driven decision-making. This will result in increased revenue, profitability, and working capital, as well as greater customer satisfaction.  Learn more"
Enterprise management,Intelligent business operations," Unlock value through next-generation, AI-augmented operations. These will transform your finance function into one that drives frictionless, enterprise-level outcomes, enhanced efficiency, and top-line growth to your business. Learn more"
Enterprise management,Intelligent business operations,"Intelligent Process Automation leverages a unique and differentiating approach that encompasses an end-to-end perspective from ideation to production. It enables you to seek guidance on starting an automation journey, scale up operations, enjoy sustainable automation benefits, and pursue capability growth and innovation that benefits from our world-class capability, and vertical and horizontal process experience.  Learn more"
Enterprise management,Intelligent business operations,"Put your customers at the center of your business operations by integrating humans and machines to deliver a digital, AI-infused ecosystem of connected, persona-influenced services and platforms. These will drive a more meaningful, productive, and frictionless relationship between your customers and employees. Learn more"
Enterprise management,People experience,"A fantastic employee experience is everything. Make sure it’s everywhere.As workplaces become more fluid, employees expect the flexibility to work from anywhere and access data from any device seamlessly. Our employee experience portfolio brings a new level of choice and flexibility to employee interactions, engagement, collaboration, and support and is focused to deliver productive, inclusive, and sustainable workplaces. We have proven expertise in end-user transformation, with thousands of successful client engagements worldwide. We are uniquely qualified to help your enterprise chart its own course to the modern human-centric digital workplace.Learn more"
Enterprise management,People experience,"Create an adaptive, people-centric organization.To be competitive, resilient, and sustainable, organizations must find the right balance between agility, technology, and people, and enable HR to deliver on that.Reinventing work by Capgemini Invent is our proven, agile offer to help organizations achieve this. We partner with our clients and partners to bring an inclusive, holistic approach and a unique reinvention experience.Learn more"
Enterprise management,People experience,"Put your people at the center of your HR value proposition.Our intelligent people operations help you deliver an intelligent and frictionless, consumer-grade people experience while transforming the way you address your talent and workforce challenges.Our offer puts employees at the heart of the solution, across your talent acquisition, HR administration, payroll, and HR analytics functions, to deliver strong and sustainable value to your business.  Learn more"
Intelligent Industry,Capgemini is platinum sponsor of the railway industry association’s innovation conference 2023,Capgemini and SNCF Réseau collaborate to improve the maintenance and infrastructure of the national rail network in France
Intelligent Industry,Capgemini is platinum sponsor of the railway industry association’s innovation conference 2023,Delivering safe and efficient Digital Signalling systems is a multi-faceted challenge.
Intelligent Industry,Capgemini is platinum sponsor of the railway industry association’s innovation conference 2023,"The railway industry is under enormous pressure to change, with some key drivers accelerating the transformation."
Intelligent Industry,Intelligent operations,"Factories today, whether discrete or process manufacturers, must leverage data and digital technologies to improve overall performance and agility on the journey to autonomous manufacturing. We help organisations transform with data-driven operations and digital continuity, enabling them to innovate, design, architect, and implement scalable solutions for specific business and industry challenges.Our advanced data, AI, and machine learning skills and capabilities power real-time plant and asset monitoring and optimise production efficiency. Actionable insights can predict maintenance, anticipate demand fluctuations, and improve process flows. We also focus on the human side, enabling people to work more productively and safely using data and technology, such as wearables and augmented and virtual reality.We partner with our clients to create their factory of the future and put sustainability at the heart of industrial operations."
Intelligent Industry,Intelligent operations,"To meet the demands of today’s connected consumers, industry leaders must enhance their supply chains. This means adapting to shifts in buying patterns and selling models, focusing on tailored experiences, meeting expectations for “need it now” delivery with real-time track & trace, and running sustainable operations.Companies are under pressure to reduce costs and optimise service levels while simultaneously building new business models. Data must be employed to drive informed decision making and enhance visibility, transparency, and resiliency.We help our clients achieve end-to-end, customer-centric supply chain transformation through a combination of strategy and technology expertise, leveraging the latest in data, AI/machine learning, and automation. Our services support initiatives across demand/supply planning, inventory management, logistics, service/spare parts, and retail merchandising."
Intelligent Industry,Intelligent products and services,Enhancing customers’ lives with technology
Intelligent Industry,Intelligent products and services,The new route to value creation across industries
Intelligent Industry,Intelligent products and services,Unlock the opportunity of a connected business. 
Sustainability,Commit,"For manufacturers, there is increased pressure – from consumers, shareholders, regulators – to create products that generate less CO2 emissions, use less water and energy, and keep waste generation to a minimum. We use our engineering expertise to redesign and configure your products – whether vehicles, airplanes, or packaged food and drink – focusing on sustainable materials, cost constraints, and reusability."
Sustainability,Commit,"Meeting the many challenges of achieving greater sustainability for your business requires vision and a coordinated approach. We help you to  develop a practical and pragmatic roadmap that embeds measurable commitments, engages your employees, customers and suppliers, and delivers tangible value for stakeholders and the planet."
Sustainability,Commit,"Often overlooked, we know that sustainable IT needs to be designed and planned for, and implemented, to reduce the environmental impact of IT operations across an organisation. We help our clients evaluate the purchase, use, management and disposal of IT devices and equipment, champion sustainability through employee engagement and move towards a greater take up of environmentally sustainable technologies."
Sustainability,Commit,"Only through harnessing the power of data across your entire ecosystem will you clearly understand the environmental impact of your business. But tracking that data is hard. We help you collate the data you need, analyze and evaluate, monitor your progress, and report on your ESG performance with confidence – to your customers, shareholders, and regulatory bodies."
Sustainability,Commit,"Scope 3 emissions represent a large percentage of a manufacturer’s emissions, emanating from right across the supply chain – from design and procurement to distribution. Involving activities in and outside a company’s control, they are hard to track and report. We help clients meet this complex challenge through reengineering supply chains, lifecycle assessments, energy efficiency and smart data collection."
Sustainability,ESG management and reporting,No Solutions Data Available
Sustainability,ESG management and reporting,"Research shows that only 13% of organizations have adopted a carbon management solution at scale. Part of the challenge is the task of monitoring, measuring, and reporting critical sustainability data in a reliable, accurate, and comprehensive manner. Our active, end-to-end approach to carbon reporting and management fuses critical disciplines in a modular manner , covering strategy, engineering, lifecycle analysis, carbon accounting, and decarbonization execution, across your entire value chain​."
Sustainability,ESG management and reporting,"We empower our public sector clients to collect, process, monitor and share data to provide transparency for citizens and enable secure data-driven collaboration between departments and government bodies."
Sustainability,ESG management and reporting,"We go beyond conventional data sources to build contextualized ESG insights using Gen AI to help banks, insurers and risk officers to combat greenwashing risk and drive informed business decisions. "
Sustainability,ESG management and reporting,"We help you take control of your sustainability data in a single, secured, and trusted environment to create transparency and actionable insight while accelerating carbon footprint reporting."
Sustainability,ESG management and reporting,"We transform commitments and actions into proven impacts. Thus, we support our clients by setting up a robust and consistent 360° impacts measurement and steering system, from strategy to operations. "
Sustainability,Enterprise Sustainability Proposition,"Companies now have a corporate responsibility and business imperative to get on the road to net-zero, yet we understand that achieving these goals is rarely straightforward."
Sustainability,Sustainability strategy and governance,"An advanced integrated assessment model, Business for Planet Modeling enables you to make fact-based business, investment, and transition decisions with greater precision and certainty, more easily.By analysing a strategic digital twin model, we stress-test your plans and strategies against a wealth of future scenarios relating to predictions on climate, economic, and planetary boundaries."
Sustainability,Sustainability strategy and governance,No Solutions Data Available
Sustainability,Sustainability strategy and governance,"Such a model destroys value, so it is an increasing imperative – for the planet and business – to move to new business models such as a circular economy that can preserve value and drive change.By maximising the use of resources, components, extending the lifecycle of products, and reducing the production of waste and pollution, we can create business, consumer, and environmental value."
Sustainability,Sustainability strategy and governance,We help clients to define their commitment towards planetary boundaries (beyond net zero).
Sustainability,Sustainability strategy and governance,"We strategise and implement solutions designed to embed sustainability across the organisation: structure, governance, processes, metrics, skills and culture."
Sustainability,Sustainable operations,"Digital tools enable the monitoring, visualization and management of energy production, distribution and consumption.They can identify and eliminate loss and waste, using IoT sensor data to feed intelligent, automated, predictive energy management software.  We enable enterprise-wide energy efficiency by remotely tracking energy usage, carbon emissions, and equipment efficiency, optimizing energy consumption, and leveraging technology, to lead to a greener, leaner future."
Sustainability,Sustainable operations,No Solutions Data Available
Sustainability,Sustainable operations,"Our Green Core with SAP Solutions unlock sustainability data already tracked in your SAP S/4HANA® system. This means you can monitor, compare, and manage environmental data, social statistics, and other ESG KPIs across your value chain.Simple and cost-effective, we use your existing ERP data and SAP services to reduce waste, enable sustainable procurement decisions, and make carbon emissions transparent across production, raw materials, energy, and transport."
Sustainability,Sustainable operations,"Preparing for the future with Next-Gen AMI  means a future resilient, integrated system of smart meters, communication services, modern applications, and data management technologies.We scale up data-driven smart grids, support utilities through E2E expertise of AMI solutions, and improve network stability, resilience, and ability to host high share of renewables."
Sustainability,Sustainable operations,"We empower insurers by incorporating ESG data into underwriting and continuous risk monitoring, thus enabling more accurate risk evaluation and more efficient risk management."
Sustainability,Sustainable operations,"We transform and optimize your operations by re-engineering facilities and processes, leveraging the latest in data, IOT, AI/machine learning, and automation, incorporating new energy sources and better materials, and providing transparency through the supplier ecosystem. ​Adapting to shifts in buying patterns and sales models, our services support initiatives across demand/supply planning, inventory management, logistics, real-time track & trace, service/spare parts, and retail merchandizing."
Sustainability,Sustainable operations,"We transform value chains by leveraging state-of-the-art technologies to optimize the environmental impact of brownfield operations. We design and scale low-carbon and circular products and services through automated Life Cycle Assessments, innovative engineering approaches and sustainable materials integration. We also drive the acceleration of discrete industries’ greenfield circular programs and invent cross-industry collaborative models to address supply chain Scope 3 emissions in a systematic way."
Sustainability,Sustainable products,"80% of a product’s emissions (measured as Scope 3 emissions)  can be directly linked to how the product was conceived – in other words, in the design phase.Our approach to greener products is to shift away from the traditional quality-cost-time framework to quality-sustainability-cost-time methods and tools, and re-think the way products are designed from the start, how decisions are made, and how success is measured – to generate positive impacts on your environmental performance and business growth."
Sustainability,Sustainable products,"Our Lifecycle Optimisation for Aerospace platform automates the inspection process of aircraft parts and optimises the lifecycle analysis and guides decisions to extend their lifespan. In addition, we look at the decarbonisation of aviation energy sources, support design and certification of new airplanes concepts, and facilitate the adoption of autonomous systems and drones in industrial operations and services."
Sustainability,Sustainable products,"The automotive industry has made steady progress on sustainability, but a more rapid acceleration toward a systemic approach is now needed.We support the automotive industry’s path to carbon neutrality across the mobility value chain through innovative change management, sustainable holistic design, EV powertrain engineering, and energy optimisation."
Sustainability,Sustainable products,"The world needs to intensify its search for reliable supplies of renewable, sustainable and affordable energy.We look at how to make green energy cost-effective and ecologically-sound, at scale, for all components of the sustainable energy mix; this includes wind, solar, hydrogen, batteries, biogas, and carbon capture."
Sustainability,Sustainable technology,We provide organisations with a structured approach to generate business value thought technology and generate a positive environmental impact.
No Practices Data Available,Business process services,Automation
No Practices Data Available,Business process services,Finance and payment
No Practices Data Available,Business process services,Management information
No Practices Data Available,Central government services,Citizen experience
No Practices Data Available,Central government services,Digital diagnostics
No Practices Data Available,Central government services,Digital operations
No Practices Data Available,Central government services,Digital transformation
No Practices Data Available,Central government services,Government venturing
No Practices Data Available,Central government services,Grant disbursement
No Practices Data Available,Central government services,Intelligent automation
No Practices Data Available,Central government services,Procurement
No Practices Data Available,Central government services,Public services procurement frameworks
No Practices Data Available,Consulting,Digital policing
No Practices Data Available,Consulting,Engineering practice
No Practices Data Available,Consulting,Licensing and support
No Practices Data Available,Consulting,Support
No Practices Data Available,Customer experience,Collections
No Practices Data Available,Customer experience,Creating greater emotional attachment
No Practices Data Available,Customer experience,Customer acquisition and retention
No Practices Data Available,Customer experience,Customer experience systems and software
No Practices Data Available,Customer experience,How does your industry measure up?
No Practices Data Available,Customer experience,Understanding customer expectations
No Practices Data Available,Education,Local government services
No Practices Data Available,Education,Software
No Practices Data Available,Learning & development,Learning experience
No Practices Data Available,Learning & development,Learning technologies
No Practices Data Available,Learning & development,Organisational and learning transformation
No Practices Data Available,Local government services,Building resilient services
No Practices Data Available,Local government services,Citizen experience
No Practices Data Available,Local government services,Digital operations
No Practices Data Available,Local government services,Financial transformation
No Practices Data Available,Local government services,Housing
No Practices Data Available,Local government services,Local education authority software
No Practices Data Available,Local government services,"Planning, building control and regulatory services"
No Practices Data Available,Local government services,Procurement
No Practices Data Available,Local government services,Property asset services
No Practices Data Available,Local government services,Public services procurement frameworks
No Practices Data Available,Local government services,Revenues and benefits
No Practices Data Available,Pensions,Pensions administration and software
No Practices Data Available,Pensions,Pensions consulting services
No Practices Data Available,Pensions,Pensions data solutions
No Practices Data Available,Services by industry,Actuarial services
No Practices Data Available,Services by industry,Defence services
No Practices Data Available,Services by industry,Financial services
No Practices Data Available,Services by industry,Healthcare services
No Practices Data Available,Services by industry,Housing services
No Practices Data Available,Services by industry,Justice & policing services
No Practices Data Available,Services by industry,Public safety services
No Practices Data Available,Services by industry,Retail banking services
No Practices Data Available,Services by industry,Retail services
No Practices Data Available,Services by industry,Telecoms & media services
No Practices Data Available,Services by industry,Transport services
No Practices Data Available,Services by industry,Utilities services
No Practices Data Available,Services by industry,Welfare & employability
No Practices Data Available,Software,Automation
No Practices Data Available,Software,Finance and payment
No Practices Data Available,Software,Management information
No Practices Data Available,Technology solutions,Automation
No Practices Data Available,Technology solutions,Cloud
No Practices Data Available,Technology solutions,Cyber security
No Practices Data Available,Technology solutions,Digital connectivity
No Practices Data Available,Technology solutions,Finance software
No Practices Data Available,Technology solutions,IT services
No Practices Data Available,Technology solutions,Management information systems
No Practices Data Available,Technology solutions,Robotic process automation
No Practices Data Available,Technology solutions,Workplace IT
No Practices Data Available,No Services Data Available,Artificial Intelligence 
No Practices Data Available,No Services Data Available,Cloud Solutions
No Practices Data Available,No Services Data Available,Customer Relationship Management
No Practices Data Available,No Services Data Available,Cybersecurity
No Practices Data Available,No Services Data Available,Data & Analytics
No Practices Data Available,No Services Data Available,DevOps
No Practices Data Available,No Services Data Available,Enterprise Resource Planning
No Practices Data Available,No Services Data Available,IT Strategy
No Practices Data Available,No Services Data Available,Microsoft
No Practices Data Available,No Services Data Available,Mobile App Development
No Practices Data Available,No Services Data Available,Modern Software Delivery
No Practices Data Available,No Services Data Available,Modern Workplace
No Practices Data Available,No Services Data Available,NetSuite
No Practices Data Available,No Services Data Available,Oracle
No Practices Data Available,No Services Data Available,Outsourcing
No Practices Data Available,No Services Data Available,Salesforce
No Practices Data Available,Advanced analytics,No Solutions Data Available
No Practices Data Available,Application services,No Solutions Data Available
No Practices Data Available,BPS,No Solutions Data Available
No Practices Data Available,Business consulting,No Solutions Data Available
No Practices Data Available,Cloud and IT modernization,No Solutions Data Available
No Practices Data Available,Cybersecurity,No Solutions Data Available
No Practices Data Available,Digital transformation,No Solutions Data Available
No Practices Data Available,End-to-end services,No Solutions Data Available
No Practices Data Available,Infrastructure services,No Solutions Data Available
No Practices Data Available,Intelligent automation,No Solutions Data Available
No Practices Data Available,Sustainability services and solutions,No Solutions Data Available
No Practices Data Available,Systems integration,No Solutions Data Available
Accessibility Testing,Compatibility Testing,No Solutions Data Available
Accessibility Testing,Crowdsourced Testing,No Solutions Data Available
Accessibility Testing,DevOps Testing,No Solutions Data Available
Accessibility Testing,Functional Testing,No Solutions Data Available
Accessibility Testing,Performance Testing,No Solutions Data Available
Accessibility Testing,Quality Engineering,No Solutions Data Available
Accessibility Testing,Regression Testing,No Solutions Data Available
Accessibility Testing,Security Testing,No Solutions Data Available
Accessibility Testing,Test Automation,No Solutions Data Available
Agile Testing,Service Virtualization,No Solutions Data Available
Agile Testing,Test Data Management,No Solutions Data Available
Artificial Intelligence Testing,5G Assurance Services,No Solutions Data Available
Artificial Intelligence Testing,Big Data & Analytics Testing,No Solutions Data Available
Artificial Intelligence Testing,Blockchain Testing,No Solutions Data Available
Artificial Intelligence Testing,Cloud Migration Assurance,No Solutions Data Available
Artificial Intelligence Testing,Internet of Things (IoT) Testing,No Solutions Data Available
Artificial Intelligence Testing,Mobile Testing,No Solutions Data Available
Artificial Intelligence Testing,Robotic Process Automation (RPA),No Solutions Data Available
Artificial Intelligence Testing,Security Assurance,No Solutions Data Available
Cloud Migration Assurance,FinOps,No Solutions Data Available
Data Insights,AI & ML,No Solutions Data Available
DevSecOps,Application Modernization,No Solutions Data Available
DevSecOps,Blockchain Engineering,No Solutions Data Available
DevSecOps,Enterprise Application Development,No Solutions Data Available
DevSecOps,Site Reliability Engineering,No Solutions Data Available
DevSecOps,Software Product Engineering,No Solutions Data Available
DevSecOps,User Experience Engineering,No Solutions Data Available
ERP Testing,Medical Devices Testing,No Solutions Data Available
ERP Testing,Salesforce Testing,No Solutions Data Available
Programmatic Innovation,Agile Transformation,No Solutions Data Available
Programmatic Innovation,DevOps Transformation,No Solutions Data Available
No Practices Data Available,Business & technology transformation,No Solutions Data Available
No Practices Data Available,Customer experience transformation,No Solutions Data Available
No Practices Data Available,Data governance,No Solutions Data Available
No Practices Data Available,Digital adoption,No Solutions Data Available
No Practices Data Available,Employee experience,No Solutions Data Available
No Practices Data Available,Operational efficiency,No Solutions Data Available
No Practices Data Available,People and change management,No Solutions Data Available
No Practices Data Available,Post merger integration,No Solutions Data Available
No Practices Data Available,Process improvement consultancy,No Solutions Data Available
No Practices Data Available,Service design,No Solutions Data Available
No Practices Data Available,Sustainability consulting,No Solutions Data Available
Apps,App Growth,No Solutions Data Available
Apps,Experience Design,No Solutions Data Available
Apps,Innovation Lab,No Solutions Data Available
Apps,Marketing Sciences,No Solutions Data Available
Apps,Product Development,No Solutions Data Available
Apps,Quality Assurance,No Solutions Data Available
Apps,Strategy,No Solutions Data Available
B2B,AI,No Solutions Data Available
B2B,Account-Based Marketing,No Solutions Data Available
B2B,Business Strategy & Creative Development,No Solutions Data Available
B2B,CX,No Solutions Data Available
B2B,Demand Generation,No Solutions Data Available
B2B,Ecosystems,No Solutions Data Available
B2B,Exclusive Innovation,No Solutions Data Available
B2B,Revenue Enablement,No Solutions Data Available
Brand Experience,Always-on Brand Engagement,No Solutions Data Available
Brand Experience,Connected Brand Go-to-Market Planning & Activation,No Solutions Data Available
Brand Experience,Creative Campaigns & Experiences,No Solutions Data Available
Brand Experience,Strategic Brand Foundations,No Solutions Data Available
CRM,Campaign management,No Solutions Data Available
CRM,Connecting CRM & Paid,No Solutions Data Available
CRM,Loyalty Programs,No Solutions Data Available
CRM,Marketing Automation,No Solutions Data Available
CRM,Personalization at scale,No Solutions Data Available
Commerce,Brand Guardian,No Solutions Data Available
Commerce,"Commerce technology, tools & platforms",No Solutions Data Available
Commerce,Content for commerce,No Solutions Data Available
Commerce,"Creative commerce, CX & partnerships",No Solutions Data Available
Commerce,"Data, loyalty & CRM",No Solutions Data Available
Commerce,Digital shelf tech & tools,No Solutions Data Available
Commerce,Ignite,No Solutions Data Available
Commerce,New sales models & growth mining,No Solutions Data Available
Commerce,Omnichannel strategy & operations,No Solutions Data Available
Commerce,Oto,No Solutions Data Available
Commerce,Retail media,No Solutions Data Available
Commerce,ShelfMaster,No Solutions Data Available
Commerce,Social commerce & experiential,No Solutions Data Available
Commerce,Streaem,No Solutions Data Available
Connected Media,Auditing,No Solutions Data Available
Connected Media,In-housing,No Solutions Data Available
Connected Media,Localization,No Solutions Data Available
Connected Media,Measurement & Reporting,No Solutions Data Available
Connected Media,Media Management,No Solutions Data Available
Connected Media,Optimization,No Solutions Data Available
Connected Media,Planning & Strategy,No Solutions Data Available
Connected Media,Training,No Solutions Data Available
Consulting,Change management,No Solutions Data Available
Consulting,Digital transformation,No Solutions Data Available
Consulting,Go-To-Market strategies,No Solutions Data Available
Consulting,Loyalty,No Solutions Data Available
Consulting,New value proposition design,No Solutions Data Available
Consulting,Operating model and organisational design,No Solutions Data Available
Consulting,Sustainability & positive impact,No Solutions Data Available
Customer Experience,CX Consulting,No Solutions Data Available
Customer Experience,Digital Ecosystems,No Solutions Data Available
Customer Experience,Loyalty & Membership,No Solutions Data Available
Customer Experience,Personalization at Scale,No Solutions Data Available
Customer Experience,Product & Service Innovation,No Solutions Data Available
Customer Experience,Technology Modernization,No Solutions Data Available
Data,Analytics and insight,No Solutions Data Available
Data,Data activation,No Solutions Data Available
Data,Data strategy and management,No Solutions Data Available
Data,Entrust,No Solutions Data Available
Data,Reveal,No Solutions Data Available
Enterprise Solutions,Automation & Martech,No Solutions Data Available
Enterprise Solutions,Brand Guardian,No Solutions Data Available
Enterprise Solutions,Commerce,No Solutions Data Available
Enterprise Solutions,Data Science,No Solutions Data Available
Enterprise Solutions,Engineering,No Solutions Data Available
Enterprise Solutions,Entrust,No Solutions Data Available
Enterprise Solutions,Ignite,No Solutions Data Available
Enterprise Solutions,Innovation,No Solutions Data Available
Enterprise Solutions,Oto,No Solutions Data Available
Enterprise Solutions,Reveal,No Solutions Data Available
Enterprise Solutions,ShelfMaster,No Solutions Data Available
Enterprise Solutions,Solution Consulting,No Solutions Data Available
Enterprise Solutions,Streaem,No Solutions Data Available
Health,Digital Solutions,No Solutions Data Available
Health,KOL Insights,No Solutions Data Available
Health,Market Access and Payer,No Solutions Data Available
Health,Medical Communications,No Solutions Data Available
Health,Oncology,No Solutions Data Available
Health,Patient Partnerships,No Solutions Data Available
Health,Strategy and Medical Consulting,No Solutions Data Available
Inclusion Experience,Brand Guardian,No Solutions Data Available
Inclusion Experience,Brand and Consumer Inclusion,No Solutions Data Available
